date,rate
20001121,0.8458
20001122,0.8423
20001124,0.8382
20001127,0.8500
20001128,0.8547
20001129,0.8577
20001130,0.8694
20001201,0.8765
20001204,0.8875
20001205,0.8804
20001206,0.8877
20001207,0.8891
20001208,0.8838
20001211,0.8771
20001212,0.8775
20001213,0.8755
20001214,0.8858
20001215,0.8981
20001218,0.8929
20001219,0.8902
20001220,0.9058
20001221,0.9112
20001222,0.9230
20001226,0.9292
20001227,0.9304
20001228,0.9257
20001229,0.9388
20010102,0.9465
20010103,0.9473
20010104,0.9448
20010105,0.9535
20010108,0.9486
20010109,0.9397
20010110,0.9387
20010111,0.9520
20010112,0.9486
20010116,0.9374
20010117,0.9306
20010118,0.9446
20010119,0.9363
20010122,0.9374
20010123,0.9389
20010124,0.9258
20010125,0.9219
20010126,0.9213
20010129,0.9181
20010130,0.9264
20010131,0.9308
20010201,0.9384
20010202,0.9357
20010205,0.9395
20010206,0.9304
20010207,0.9331
20010208,0.9184
20010209,0.9267
20010212,0.9287
20010213,0.9204
20010214,0.9197
20010215,0.9057
20010216,0.9162
20010220,0.9096
20010221,0.9077
20010222,0.9069
20010223,0.9095
20010226,0.9093
20010227,0.9128
20010228,0.9212
20010301,0.9291
20010302,0.9340
20010305,0.9289
20010306,0.9313
20010307,0.9274
20010308,0.9281
20010309,0.9315
20010312,0.9300
20010313,0.9148
20010314,0.9133
20010315,0.9046
20010316,0.8929
20010319,0.8985
20010320,0.9054
20010321,0.8970
20010322,0.8881
20010323,0.8926
20010326,0.8955
20010327,0.8910
20010328,0.8882
20010329,0.8807
20010330,0.8794
20010402,0.8824
20010403,0.8930
20010404,0.9013
20010405,0.8976
20010406,0.9002
20010409,0.9014
20010410,0.8884
20010411,0.8856
20010412,0.8922
20010413,0.8888
20010416,0.8862
20010417,0.8814
20010418,0.8816
20010419,0.8909
20010420,0.9032
20010423,0.8960
20010424,0.8946
20010425,0.8972
20010426,0.9011
20010427,0.8924
20010430,0.8874
20010501,0.8937
20010502,0.8925
20010503,0.8891
20010504,0.8934
20010507,0.8916
20010508,0.8848
20010509,0.8845
20010510,0.8792
20010511,0.8759
20010514,0.8748
20010515,0.8788
20010516,0.8842
20010517,0.8828
20010518,0.8774
20010521,0.8762
20010522,0.8657
20010523,0.8598
20010524,0.8570
20010525,0.8577
20010529,0.8547
20010530,0.8576
20010531,0.8455
20010601,0.8452
20010604,0.8449
20010605,0.8504
20010606,0.8452
20010607,0.8506
20010608,0.8505
20010611,0.8425
20010612,0.8479
20010613,0.8536
20010614,0.8598
20010615,0.8628
20010618,0.8610
20010619,0.8558
20010620,0.8506
20010621,0.8544
20010622,0.8570
20010625,0.8611
20010626,0.8623
20010627,0.8621
20010628,0.8470
20010629,0.8474
20010702,0.8455
20010703,0.8477
20010705,0.8370
20010706,0.8465
20010709,0.8474
20010710,0.8557
20010711,0.8614
20010712,0.8530
20010713,0.8527
20010716,0.8549
20010717,0.8549
20010718,0.8701
20010719,0.8690
20010720,0.8713
20010723,0.8676
20010724,0.8752
20010725,0.8797
20010726,0.8765
20010727,0.8749
20010730,0.8750
20010731,0.8752
20010801,0.8793
20010802,0.8813
20010803,0.8843
20010806,0.8802
20010807,0.8775
20010808,0.8778
20010809,0.8886
20010810,0.8940
20010813,0.8983
20010814,0.9025
20010815,0.9114
20010816,0.9138
20010817,0.9165
20010820,0.9127
20010821,0.9115
20010822,0.9194
20010823,0.9166
20010824,0.9116
20010827,0.9098
20010828,0.9102
20010829,0.9097
20010830,0.9154
20010831,0.9090
20010904,0.8868
20010905,0.8897
20010906,0.8943
20010907,0.9044
20010910,0.8988
20010912,0.9069
20010913,0.9089
20010914,0.9199
20010917,0.9198
20010918,0.9233
20010919,0.9310
20010920,0.9255
20010921,0.9099
20010924,0.9135
20010925,0.9222
20010926,0.9231
20010927,0.9181
20010928,0.9099
20011001,0.9159
20011002,0.9149
20011003,0.9181
20011004,0.9141
20011005,0.9168
20011009,0.9150
20011010,0.9118
20011011,0.9008
20011012,0.9078
20011015,0.9077
20011016,0.9094
20011017,0.9065
20011018,0.9025
20011019,0.8987
20011022,0.8906
20011023,0.8893
20011024,0.8925
20011025,0.8965
20011026,0.8921
